customer_id,predicted_churn_probability,risk_bucket,risk_score,age,customer_tenure_months,current_premium,num_policies,missed_payment_flag,complaint_flag,coverage_downgrade_flag,quote_requested_flag,premium_change_pct,recommended_action
8203,0.9919,1_Critico,3,58,6,815.19,3,0,1,0,1,0.1652,1_Llamada gerencial + oferta premium
26251,0.9918,1_Critico,2,85,10,1394.9,1,0,0,0,0,0.3035,1_Llamada gerencial + oferta premium
18753,0.9918,1_Critico,3,55,175,1423.17,1,0,1,0,1,0.1677,1_Llamada gerencial + oferta premium
29522,0.9916,1_Critico,4,43,3,1136.78,1,1,0,1,0,0.1873,1_Llamada gerencial + oferta premium
19864,0.9915,1_Critico,2,64,7,1726.97,1,0,1,0,0,0.1605,1_Llamada gerencial + oferta premium
40074,0.9915,1_Critico,3,45,1,767.81,1,0,1,0,1,0.1399,1_Llamada gerencial + oferta premium
35832,0.9915,1_Critico,3,46,1,937.4,1,1,0,1,0,0.0934,1_Llamada gerencial + oferta premium
4399,0.9913,1_Critico,3,22,2,627.76,1,0,0,1,0,0.1709,1_Llamada gerencial + oferta premium
43567,0.9912,1_Critico,2,67,8,1054.16,1,1,0,0,0,0.0785,1_Llamada gerencial + oferta premium
28162,0.9912,1_Critico,2,51,7,1013.34,1,1,0,0,0,0.0628,1_Llamada gerencial + oferta premium
14119,0.991,1_Critico,2,38,7,1692.46,1,1,0,0,0,0.0674,1_Llamada gerencial + oferta premium
29647,0.9909,1_Critico,4,43,11,1290.14,1,1,1,0,1,0.0109,1_Llamada gerencial + oferta premium
20441,0.9907,1_Critico,3,47,5,983.66,1,0,1,1,0,0.1814,1_Llamada gerencial + oferta premium
26254,0.9907,1_Critico,4,60,11,932.15,2,1,0,1,0,0.189,1_Llamada gerencial + oferta premium
37820,0.9906,1_Critico,3,53,7,745.57,4,0,1,0,0,0.1329,1_Llamada gerencial + oferta premium
14081,0.9904,1_Critico,4,25,72,1385.64,1,1,1,0,0,0.1291,1_Llamada gerencial + oferta premium
17342,0.9904,1_Critico,2,22,11,985.36,1,1,0,0,0,0.056,1_Llamada gerencial + oferta premium
21054,0.9904,1_Critico,3,83,159,706.72,4,0,1,0,1,0.1817,1_Llamada gerencial + oferta premium
47578,0.9901,1_Critico,2,27,11,2523.98,1,1,0,0,0,0.053,1_Llamada gerencial + oferta premium
45707,0.9901,1_Critico,3,82,5,1235.6,1,0,0,0,1,0.2618,1_Llamada gerencial + oferta premium
18913,0.9898,1_Critico,3,58,6,910.17,4,1,0,0,0,0.147,1_Llamada gerencial + oferta premium
12108,0.9897,1_Critico,3,33,6,1716.92,2,0,1,0,1,0.1265,1_Llamada gerencial + oferta premium
22928,0.9894,1_Critico,3,37,16,737.24,2,0,1,0,0,0.1934,1_Llamada gerencial + oferta premium
5853,0.9893,1_Critico,2,35,6,1103.51,1,0,1,0,0,0.1038,1_Llamada gerencial + oferta premium
3075,0.9893,1_Critico,3,57,11,1171.98,2,1,1,0,0,0.087,1_Llamada gerencial + oferta premium
22809,0.9892,1_Critico,3,81,1,1590.27,1,0,0,1,0,0.2213,1_Llamada gerencial + oferta premium
39947,0.9887,1_Critico,3,33,9,812.9,1,1,0,1,0,0.029,1_Llamada gerencial + oferta premium
33538,0.9887,1_Critico,1,46,5,1398.52,1,0,1,0,0,0.0553,1_Llamada gerencial + oferta premium
45638,0.9886,1_Critico,2,67,24,2009.19,1,0,1,0,0,0.2285,1_Llamada gerencial + oferta premium
19916,0.9885,1_Critico,4,27,124,947.95,1,0,1,1,1,0.2495,1_Llamada gerencial + oferta premium
44287,0.9884,1_Critico,4,20,16,719.57,1,1,0,0,1,0.1976,1_Llamada gerencial + oferta premium
7064,0.9884,1_Critico,2,19,1,1209.57,4,1,0,0,0,0.0887,1_Llamada gerencial + oferta premium
18734,0.9884,1_Critico,4,65,15,941.22,1,1,1,0,0,0.1651,1_Llamada gerencial + oferta premium
488,0.9884,1_Critico,3,54,7,804.91,1,0,0,0,1,0.1362,1_Llamada gerencial + oferta premium
12719,0.9882,1_Critico,3,74,112,695.66,1,0,1,0,1,0.2331,1_Llamada gerencial + oferta premium
14116,0.9882,1_Critico,4,27,11,488.52,3,0,1,1,0,0.2019,1_Llamada gerencial + oferta premium
9310,0.9882,1_Critico,3,46,7,932.13,1,0,1,1,0,0.1586,1_Llamada gerencial + oferta premium
32544,0.988,1_Critico,2,85,80,1647.86,1,0,1,0,0,0.2423,1_Llamada gerencial + oferta premium
30869,0.988,1_Critico,2,59,133,1155.17,1,0,1,0,0,0.1077,1_Llamada gerencial + oferta premium
31091,0.9878,1_Critico,3,69,2,995.99,3,1,0,0,0,0.1191,1_Llamada gerencial + oferta premium
36009,0.9875,1_Critico,3,70,6,1360.08,4,1,0,0,0,0.2113,1_Llamada gerencial + oferta premium
8457,0.9875,1_Critico,2,83,28,1015.55,1,0,1,0,0,0.2232,1_Llamada gerencial + oferta premium
25363,0.9874,1_Critico,5,78,17,1017.98,1,1,0,1,1,0.2643,1_Llamada gerencial + oferta premium
1451,0.9873,1_Critico,3,37,76,1272.57,1,0,1,0,1,0.2342,1_Llamada gerencial + oferta premium
6314,0.987,1_Critico,3,22,4,993.05,1,0,1,1,0,0.1462,1_Llamada gerencial + oferta premium
14778,0.9869,1_Critico,2,20,53,884.58,1,0,1,0,0,0.1706,1_Llamada gerencial + oferta premium
27612,0.9869,1_Critico,3,19,25,1104.89,1,0,1,0,0,0.2277,1_Llamada gerencial + oferta premium
19712,0.9868,1_Critico,3,24,14,1393.06,1,1,1,0,0,-0.0472,1_Llamada gerencial + oferta premium
13429,0.9866,1_Critico,2,20,10,192.89,1,0,1,0,0,0.2078,1_Llamada gerencial + oferta premium
20287,0.9866,1_Critico,3,78,84,689.74,1,0,1,0,1,0.1568,1_Llamada gerencial + oferta premium
42176,0.9866,1_Critico,4,35,5,1031.45,4,1,0,0,1,0.1226,1_Llamada gerencial + oferta premium
15053,0.9864,1_Critico,3,56,105,761.45,1,0,1,0,0,0.2246,1_Llamada gerencial + oferta premium
2930,0.9864,1_Critico,2,62,152,1366.28,1,0,1,0,0,0.1057,1_Llamada gerencial + oferta premium
34311,0.9864,1_Critico,2,18,144,1048.61,1,0,1,0,0,0.1258,1_Llamada gerencial + oferta premium
47509,0.9863,1_Critico,5,80,16,1412.69,2,0,1,1,1,0.196,1_Llamada gerencial + oferta premium
42068,0.9863,1_Critico,0,71,8,2793.34,1,0,0,0,0,0.0912,1_Llamada gerencial + oferta premium
45138,0.9861,1_Critico,2,83,11,1126.48,1,0,0,0,0,0.2721,1_Llamada gerencial + oferta premium
30762,0.9861,1_Critico,3,36,13,3090.42,1,0,1,0,1,0.2344,1_Llamada gerencial + oferta premium
5660,0.9859,1_Critico,3,68,35,779.91,1,0,1,0,1,0.2189,1_Llamada gerencial + oferta premium
29877,0.9859,1_Critico,3,69,21,1714.48,1,1,1,0,0,0.0588,1_Llamada gerencial + oferta premium
27254,0.9859,1_Critico,2,66,23,886.14,4,0,1,0,0,0.1361,1_Llamada gerencial + oferta premium
27863,0.9858,1_Critico,3,81,138,1010.52,1,0,1,0,1,0.1639,1_Llamada gerencial + oferta premium
33217,0.9858,1_Critico,3,36,19,894.99,1,0,1,0,0,0.1383,1_Llamada gerencial + oferta premium
13090,0.9857,1_Critico,3,35,59,1162.02,1,0,1,0,0,0.241,1_Llamada gerencial + oferta premium
25987,0.9856,1_Critico,3,28,6,1040.87,1,0,0,0,1,0.237,1_Llamada gerencial + oferta premium
29559,0.9856,1_Critico,4,76,4,1962.34,1,1,1,1,0,0.0156,1_Llamada gerencial + oferta premium
34057,0.9855,1_Critico,2,26,7,1821.56,1,0,0,0,0,0.2329,1_Llamada gerencial + oferta premium
39526,0.9854,1_Critico,3,56,132,479.2,1,0,1,0,1,0.2075,1_Llamada gerencial + oferta premium
35122,0.9854,1_Critico,3,24,53,469.59,1,0,1,0,1,0.1729,1_Llamada gerencial + oferta premium
46481,0.9854,1_Critico,2,31,8,1923.08,3,1,0,0,0,0.0549,1_Llamada gerencial + oferta premium
16103,0.9853,1_Critico,4,44,148,1812.0,1,0,1,1,1,0.1635,1_Llamada gerencial + oferta premium
27941,0.9852,1_Critico,3,73,2,1796.68,1,0,0,0,1,0.2639,1_Llamada gerencial + oferta premium
14392,0.9852,1_Critico,2,83,60,671.44,1,0,1,0,0,0.1938,1_Llamada gerencial + oferta premium
31496,0.9852,1_Critico,3,65,10,566.79,3,0,1,0,1,0.1165,1_Llamada gerencial + oferta premium
22910,0.9851,1_Critico,3,68,166,1012.66,1,0,1,0,1,0.1229,1_Llamada gerencial + oferta premium
18629,0.985,1_Critico,2,70,80,1167.04,1,0,1,0,0,0.222,1_Llamada gerencial + oferta premium
7856,0.9849,1_Critico,5,74,11,796.84,3,0,1,1,1,0.1779,1_Llamada gerencial + oferta premium
27617,0.9848,1_Critico,2,22,8,1331.46,1,0,1,0,1,0.0834,1_Llamada gerencial + oferta premium
28963,0.9846,1_Critico,2,66,11,1062.76,2,0,0,0,0,0.2326,1_Llamada gerencial + oferta premium
10261,0.9845,1_Critico,3,30,91,451.21,1,0,1,0,1,0.1785,1_Llamada gerencial + oferta premium
48625,0.9845,1_Critico,3,24,90,1082.09,1,0,1,0,1,0.177,1_Llamada gerencial + oferta premium
16628,0.9845,1_Critico,5,38,18,1300.93,2,0,1,1,1,0.1539,1_Llamada gerencial + oferta premium
38249,0.9844,1_Critico,3,70,1,1434.36,1,0,0,1,0,0.2247,1_Llamada gerencial + oferta premium
16601,0.9844,1_Critico,3,85,20,485.22,2,0,1,0,1,0.1457,1_Llamada gerencial + oferta premium
48957,0.9841,1_Critico,2,67,176,1645.3,1,0,1,0,0,0.1812,1_Llamada gerencial + oferta premium
3978,0.984,1_Critico,1,85,1,840.54,1,0,0,0,0,0.1906,1_Llamada gerencial + oferta premium
7211,0.984,1_Critico,4,70,86,1295.61,4,0,1,1,0,0.1732,1_Llamada gerencial + oferta premium
31616,0.984,1_Critico,3,19,8,808.98,1,0,0,0,1,0.1912,1_Llamada gerencial + oferta premium
42686,0.984,1_Critico,3,77,29,609.73,1,0,1,0,1,0.1202,1_Llamada gerencial + oferta premium
17794,0.9839,1_Critico,3,34,46,792.89,1,0,1,0,1,0.1804,1_Llamada gerencial + oferta premium
9764,0.9837,1_Critico,3,58,2,856.6,1,0,0,0,1,0.1724,1_Llamada gerencial + oferta premium
163,0.9836,1_Critico,3,45,10,982.32,1,0,0,1,0,0.2439,1_Llamada gerencial + oferta premium
3107,0.9835,1_Critico,2,76,80,1812.34,1,0,1,0,0,0.2062,1_Llamada gerencial + oferta premium
39656,0.9835,1_Critico,3,30,180,2227.07,4,0,1,0,1,0.2046,1_Llamada gerencial + oferta premium
29962,0.9834,1_Critico,3,19,12,1044.28,1,0,1,0,0,0.188,1_Llamada gerencial + oferta premium
30130,0.9832,1_Critico,1,52,1,1290.78,1,0,0,0,0,0.0591,1_Llamada gerencial + oferta premium
23925,0.9831,1_Critico,1,19,3,663.97,1,0,0,0,0,0.2422,1_Llamada gerencial + oferta premium
30549,0.983,1_Critico,2,84,64,727.01,1,0,1,0,0,0.2142,1_Llamada gerencial + oferta premium
41073,0.983,1_Critico,4,42,73,418.73,1,0,1,0,1,0.1312,1_Llamada gerencial + oferta premium
49188,0.983,1_Critico,4,79,34,1859.01,1,0,1,0,1,0.1706,1_Llamada gerencial + oferta premium
6113,0.983,1_Critico,3,49,8,1385.95,1,0,1,0,1,0.1215,1_Llamada gerencial + oferta premium
16573,0.983,1_Critico,4,27,85,795.29,1,0,1,0,1,0.1449,1_Llamada gerencial + oferta premium
26493,0.9829,1_Critico,3,29,73,198.0,1,0,1,0,1,0.1349,1_Llamada gerencial + oferta premium
47938,0.9829,1_Critico,2,61,4,1532.84,1,0,0,0,0,0.3244,1_Llamada gerencial + oferta premium
21493,0.9828,1_Critico,3,25,6,1045.65,1,0,0,1,0,0.1524,1_Llamada gerencial + oferta premium
45714,0.9828,1_Critico,3,25,68,1215.47,1,0,1,1,0,0.1176,1_Llamada gerencial + oferta premium
24878,0.9828,1_Critico,4,55,89,864.01,1,1,0,1,0,0.211,1_Llamada gerencial + oferta premium
478,0.9827,1_Critico,4,19,88,797.22,1,0,1,1,1,0.1456,1_Llamada gerencial + oferta premium
29203,0.9827,1_Critico,2,79,49,729.78,1,0,1,0,0,0.1842,1_Llamada gerencial + oferta premium
17745,0.9826,1_Critico,3,37,75,535.28,1,0,1,0,1,0.162,1_Llamada gerencial + oferta premium
35481,0.9826,1_Critico,3,38,111,1147.18,1,0,1,0,1,0.2047,1_Llamada gerencial + oferta premium
13896,0.9826,1_Critico,3,66,126,1327.72,1,0,1,0,1,0.1556,1_Llamada gerencial + oferta premium
44036,0.9824,1_Critico,3,34,49,1867.18,1,0,1,0,1,0.1661,1_Llamada gerencial + oferta premium
33543,0.9824,1_Critico,3,58,1,866.18,4,0,0,1,0,0.2134,1_Llamada gerencial + oferta premium
26274,0.9823,1_Critico,3,25,168,792.78,2,0,1,1,0,0.2081,1_Llamada gerencial + oferta premium
1920,0.9823,1_Critico,3,54,83,142.69,1,0,1,0,1,0.1791,1_Llamada gerencial + oferta premium
44034,0.9822,1_Critico,2,22,92,1179.96,1,0,1,0,0,0.2121,1_Llamada gerencial + oferta premium
30784,0.9821,1_Critico,3,35,18,1289.49,2,0,1,0,1,0.1872,1_Llamada gerencial + oferta premium
29718,0.9821,1_Critico,3,34,3,259.34,1,0,0,0,1,0.1478,1_Llamada gerencial + oferta premium
25202,0.9821,1_Critico,3,68,63,795.01,1,0,1,0,1,0.1991,1_Llamada gerencial + oferta premium
24221,0.9821,1_Critico,3,71,144,1238.09,3,0,1,0,1,0.1686,1_Llamada gerencial + oferta premium
46167,0.9821,1_Critico,3,34,166,1227.22,1,0,1,1,0,0.1599,1_Llamada gerencial + oferta premium
27217,0.982,1_Critico,3,80,1,518.43,2,0,0,0,1,0.2243,1_Llamada gerencial + oferta premium
28018,0.982,1_Critico,2,83,5,1481.53,1,0,0,0,0,0.1738,1_Llamada gerencial + oferta premium
2446,0.9819,1_Critico,1,78,5,1665.06,1,0,0,0,0,0.235,1_Llamada gerencial + oferta premium
37832,0.9818,1_Critico,2,27,4,1131.85,1,0,0,0,0,0.2332,1_Llamada gerencial + oferta premium
30405,0.9818,1_Critico,3,75,4,1258.86,1,0,0,1,0,0.1697,1_Llamada gerencial + oferta premium
27234,0.9817,1_Critico,3,23,60,245.92,1,0,1,0,1,0.1513,1_Llamada gerencial + oferta premium
19002,0.9817,1_Critico,2,64,4,897.37,1,0,0,0,1,0.279,1_Llamada gerencial + oferta premium
10558,0.9816,1_Critico,3,30,63,1075.23,1,0,1,0,1,0.1953,1_Llamada gerencial + oferta premium
46241,0.9815,1_Critico,3,21,42,750.54,3,0,1,0,1,0.1894,1_Llamada gerencial + oferta premium
411,0.9814,1_Critico,2,29,131,145.5,1,0,1,0,0,0.2707,1_Llamada gerencial + oferta premium
35445,0.9813,1_Critico,2,82,38,1159.46,1,0,1,0,0,0.1739,1_Llamada gerencial + oferta premium
45829,0.9813,1_Critico,3,39,80,1230.37,1,0,1,0,1,0.1932,1_Llamada gerencial + oferta premium
18341,0.9813,1_Critico,4,36,89,1051.27,2,0,1,0,1,0.2957,1_Llamada gerencial + oferta premium
41002,0.9813,1_Critico,3,84,8,1202.95,1,0,0,0,1,0.1565,1_Llamada gerencial + oferta premium
24152,0.9813,1_Critico,3,85,15,1872.48,1,0,1,0,0,0.1248,1_Llamada gerencial + oferta premium
9667,0.9812,1_Critico,3,59,93,1604.61,2,0,1,0,1,0.2,1_Llamada gerencial + oferta premium
29215,0.9812,1_Critico,3,35,123,323.47,1,0,1,0,1,0.1526,1_Llamada gerencial + oferta premium
9311,0.9812,1_Critico,3,71,51,1147.22,2,0,1,0,1,0.2009,1_Llamada gerencial + oferta premium
49904,0.9812,1_Critico,3,74,143,1101.54,1,0,1,1,0,0.2193,1_Llamada gerencial + oferta premium
8844,0.9811,1_Critico,3,30,49,630.02,1,1,0,0,0,0.1976,1_Llamada gerencial + oferta premium
6179,0.9811,1_Critico,2,72,130,1651.83,1,0,1,0,0,0.2134,1_Llamada gerencial + oferta premium
18966,0.981,1_Critico,3,85,9,1170.79,1,1,1,0,0,-0.094,1_Llamada gerencial + oferta premium
35838,0.9809,1_Critico,3,58,23,285.35,3,0,1,0,1,0.3799,1_Llamada gerencial + oferta premium
15893,0.9809,1_Critico,2,68,5,1049.73,4,1,0,0,0,0.0574,1_Llamada gerencial + oferta premium
10103,0.9808,1_Critico,2,78,3,1223.55,1,0,0,1,0,0.2116,1_Llamada gerencial + oferta premium
37957,0.9808,1_Critico,3,71,79,1097.09,1,0,1,1,0,0.2049,1_Llamada gerencial + oferta premium
30392,0.9807,1_Critico,3,69,4,2857.07,1,0,0,1,1,0.2239,1_Llamada gerencial + oferta premium
25602,0.9807,1_Critico,2,81,10,1731.74,1,0,0,0,1,0.3431,1_Llamada gerencial + oferta premium
27864,0.9806,1_Critico,3,55,143,1243.63,1,0,1,0,1,0.1614,1_Llamada gerencial + oferta premium
16105,0.9805,1_Critico,2,82,5,1608.2,1,0,0,0,0,0.1441,1_Llamada gerencial + oferta premium
15192,0.9804,1_Critico,2,78,11,880.03,1,0,0,0,1,0.3233,1_Llamada gerencial + oferta premium
47952,0.9804,1_Critico,3,25,41,1935.89,1,0,1,0,1,0.1678,1_Llamada gerencial + oferta premium
4612,0.9803,1_Critico,4,40,18,1085.04,4,1,1,0,0,0.1209,1_Llamada gerencial + oferta premium
41871,0.9803,1_Critico,3,42,34,1777.26,1,0,1,0,0,0.1722,1_Llamada gerencial + oferta premium
32716,0.9802,1_Critico,3,41,1,1560.81,1,1,0,0,1,0.0345,1_Llamada gerencial + oferta premium
44139,0.9802,1_Critico,2,67,3,1296.31,4,1,0,0,0,0.0501,1_Llamada gerencial + oferta premium
46328,0.9802,1_Critico,3,61,149,1343.26,1,0,1,0,1,0.1733,1_Llamada gerencial + oferta premium
18456,0.9802,1_Critico,4,70,73,606.13,1,1,0,1,1,0.0064,1_Llamada gerencial + oferta premium
35878,0.9801,1_Critico,2,44,4,1280.18,2,1,0,0,0,0.0874,1_Llamada gerencial + oferta premium
10194,0.9801,1_Critico,2,64,7,851.95,1,1,0,0,0,0.0448,1_Llamada gerencial + oferta premium
31511,0.9801,1_Critico,3,70,138,909.8,1,0,1,0,1,0.1316,1_Llamada gerencial + oferta premium
2795,0.98,1_Critico,2,22,42,741.46,1,0,1,0,0,0.1582,1_Llamada gerencial + oferta premium
9999,0.98,1_Critico,3,56,22,1706.25,1,1,0,0,1,0.0498,1_Llamada gerencial + oferta premium
18646,0.98,1_Critico,2,27,6,937.03,3,1,0,0,0,0.0986,1_Llamada gerencial + oferta premium
41132,0.9799,1_Critico,3,27,168,1136.18,1,0,1,0,1,0.1295,1_Llamada gerencial + oferta premium
2868,0.9799,1_Critico,3,28,111,1168.58,1,1,0,0,0,0.2024,1_Llamada gerencial + oferta premium
38016,0.9798,1_Critico,3,57,15,779.25,1,1,0,0,0,0.1063,1_Llamada gerencial + oferta premium
22131,0.9798,1_Critico,3,21,12,1899.91,1,1,0,1,0,0.0573,1_Llamada gerencial + oferta premium
7690,0.9797,1_Critico,2,83,62,1061.53,1,0,1,0,0,0.1299,1_Llamada gerencial + oferta premium
1269,0.9796,1_Critico,2,82,1,786.72,1,0,0,0,1,0.2077,1_Llamada gerencial + oferta premium
32674,0.9795,1_Critico,3,25,11,1719.92,2,1,0,0,0,0.1041,1_Llamada gerencial + oferta premium
17068,0.9795,1_Critico,1,81,4,1839.14,1,0,0,0,0,0.1913,1_Llamada gerencial + oferta premium
20571,0.9795,1_Critico,2,40,112,1194.78,1,0,1,0,0,0.2768,1_Llamada gerencial + oferta premium
44031,0.9794,1_Critico,3,44,21,1540.06,1,0,1,0,0,0.1094,1_Llamada gerencial + oferta premium
49434,0.9791,1_Critico,2,73,136,1255.84,1,0,1,0,0,0.1975,1_Llamada gerencial + oferta premium
26967,0.9791,1_Critico,2,81,10,698.68,1,0,0,0,1,0.1389,1_Llamada gerencial + oferta premium
903,0.979,1_Critico,3,32,18,536.42,3,0,1,0,1,0.1211,1_Llamada gerencial + oferta premium
3406,0.9788,1_Critico,3,41,1,623.72,1,0,0,1,0,0.2076,1_Llamada gerencial + oferta premium
16170,0.9788,1_Critico,2,26,4,2001.3,1,0,0,1,0,0.1666,1_Llamada gerencial + oferta premium
1713,0.9788,1_Critico,2,77,58,961.06,1,0,1,0,0,0.1287,1_Llamada gerencial + oferta premium
48839,0.9788,1_Critico,3,71,154,1636.37,1,0,1,1,0,0.167,1_Llamada gerencial + oferta premium
26278,0.9787,1_Critico,3,38,57,1701.0,1,1,0,0,0,0.2709,1_Llamada gerencial + oferta premium
27400,0.9787,1_Critico,2,22,7,1181.49,1,0,0,0,1,0.2592,1_Llamada gerencial + oferta premium
10063,0.9786,1_Critico,4,75,22,1326.17,1,1,0,0,1,0.1605,1_Llamada gerencial + oferta premium
20220,0.9786,1_Critico,2,42,99,671.39,1,0,1,0,0,0.2204,1_Llamada gerencial + oferta premium
49891,0.9786,1_Critico,3,82,5,937.62,1,0,0,0,1,0.1443,1_Llamada gerencial + oferta premium
1157,0.9786,1_Critico,2,26,57,990.92,1,0,1,0,0,0.1953,1_Llamada gerencial + oferta premium
11868,0.9786,1_Critico,2,34,135,1436.81,1,0,1,0,0,0.1923,1_Llamada gerencial + oferta premium
27858,0.9786,1_Critico,3,65,135,1501.19,2,0,1,0,1,0.16,1_Llamada gerencial + oferta premium
14345,0.9785,1_Critico,2,29,4,1314.99,1,1,0,0,0,0.0401,1_Llamada gerencial + oferta premium
24384,0.9785,1_Critico,3,27,33,1865.72,1,1,0,0,1,0.0354,1_Llamada gerencial + oferta premium
49360,0.9785,1_Critico,3,81,68,1105.36,1,1,0,0,0,0.1212,1_Llamada gerencial + oferta premium
28871,0.9785,1_Critico,2,85,3,1135.74,1,0,0,0,0,0.156,1_Llamada gerencial + oferta premium
30554,0.9784,1_Critico,2,30,22,1857.67,1,0,1,0,0,0.1708,1_Llamada gerencial + oferta premium
48840,0.9784,1_Critico,2,72,28,948.53,1,0,1,0,0,0.1322,1_Llamada gerencial + oferta premium
34152,0.9784,1_Critico,3,55,10,1517.78,1,0,0,1,0,0.157,1_Llamada gerencial + oferta premium
16809,0.9784,1_Critico,3,64,22,1233.29,1,1,0,0,1,0.0413,1_Llamada gerencial + oferta premium
12085,0.9784,1_Critico,3,69,18,780.72,1,1,0,0,0,0.1022,1_Llamada gerencial + oferta premium
24228,0.9783,1_Critico,1,29,3,234.86,1,0,0,0,0,0.3031,1_Llamada gerencial + oferta premium
16523,0.9783,1_Critico,1,21,1,1204.08,2,0,0,0,0,0.0868,1_Llamada gerencial + oferta premium
25107,0.9783,1_Critico,3,57,82,1929.56,4,0,1,0,1,0.2019,1_Llamada gerencial + oferta premium
19957,0.9783,1_Critico,2,22,3,735.02,1,0,0,0,0,0.1271,1_Llamada gerencial + oferta premium
47480,0.9782,1_Critico,3,25,25,928.12,1,0,1,1,0,0.168,1_Llamada gerencial + oferta premium
